SN MIB Stat[EGM0001719199]: F[S=70,R=70],T[Min=283,Max=2282,Ave=555].
SN MIB Stat[EGM0002091512]: F[S=40,R=39],T[Min=391,Max=4187,Ave=953].
SN MIB Stat[EGM0002091513]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091514]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091515]: F[S=2747,R=2617],T[Min=0,Max=20281,Ave=2252].
SN MIB Stat[EGM0002091519]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091520]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091521]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091522]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091523]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091528]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091529]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091531]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091532]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091533]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091534]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091535]: F[S=2949,R=2932],T[Min=450,Max=19000,Ave=2102].
SN MIB Stat[EGM0002091536]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091538]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091539]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091540]: F[S=4,R=3],T[Min=412,Max=12041,Ave=1157].
SN MIB Stat[EGM0002091541]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091543]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091545]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091546]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091547]: F[S=357,R=345],T[Min=385,Max=13139,Ave=2103].
SN MIB Stat[EGM0002091548]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091549]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091550]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091551]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091552]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091553]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091554]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091555]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091556]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091557]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091559]: F[S=2,R=2],T[Min=3638,Max=10893,Ave=7266].
SN MIB Stat[EGM0002091560]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091561]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091562]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091563]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091564]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091565]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091566]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091568]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091569]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091570]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091571]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091572]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091573]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091574]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091575]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091576]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091578]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091579]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091580]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091581]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091582]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091583]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091584]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091585]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091586]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091587]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091588]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091589]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091590]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091591]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091593]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091594]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091595]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091596]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091598]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091601]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091602]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091604]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091605]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091606]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091608]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091609]: F[S=2943,R=2925],T[Min=425,Max=14741,Ave=2113].
SN MIB Stat[EGM0002091610]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091611]: F[S=1235,R=1193],T[Min=120,Max=16567,Ave=2291].
SN MIB Stat[EGM0002091612]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091613]: F[S=1855,R=1754],T[Min=0,Max=16568,Ave=2738].
SN MIB Stat[EGM0002091614]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091615]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091616]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091617]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091618]: F[S=3,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091619]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091620]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091621]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091622]: F[S=3123,R=2961],T[Min=0,Max=23433,Ave=2200].
SN MIB Stat[EGM0002091624]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091625]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091627]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091628]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091629]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091631]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091633]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091634]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
