Serial Number	Online	Offline	Availability
EGM0002091892	288	0	100
EGM0002091976	288	0	100
EGM0002091985	288	0	100
EGM0002091948	287	1	99
EGM0002091988	288	0	100
EGM0002091568	287	1	99
EGM0002091732	285	3	98
EGM0002091641	287	1	99
EGM0002091918	288	0	100
EGM0002091543	287	1	99
EGM0002091808	288	0	100
EGM0002091914	287	1	99
EGM0002091983	288	0	100
EGM0002091840	287	1	99
EGM0002092018	288	0	100
EGM0002091614	286	2	99
EGM0002091877	288	0	100
EGM0002091932	288	0	100
EGM0002091942	287	1	99
EGM0002092012	287	1	99
EGM0001719199	288	0	100
EGM0002091938	288	0	100
EGM0002091769	288	0	100
EGM0002091937	284	4	98
EGM0002091677	288	0	100
EGM0002091791	284	4	98
EGM0002091855	287	1	99
EGM0002091909	286	2	99
EGM0002091915	287	1	99
EGM0002091676	288	0	100
EGM0002091890	288	0	100
EGM0002091604	287	1	99
EGM0002091810	287	1	99
EGM0002091635	288	0	100
EGM0002091930	288	0	100
EGM0002091924	287	1	99
EGM0002091729	286	2	99
EGM0002091531	287	1	99
EGM0002091798	288	0	100
EGM0002091958	288	0	100
EGM0002091699	287	1	99
EGM0002091809	286	2	99
EGM0002091850	286	2	99
EGM0002091675	288	0	100
EGM0002091968	287	1	99
EGM0002091563	286	2	99
EGM0002091536	288	0	100
EGM0002091818	285	3	98
EGM0002091806	287	1	99
EGM0002091547	286	2	99
EGM0002091585	287	1	99
EGM0002091611	287	1	99
EGM0002091619	288	0	100
EGM0002091735	286	2	99
EGM0002091741	288	0	100
EGM0002091831	287	1	99
EGM0002091697	288	0	100
EGM0002091612	287	1	99
EGM0002091615	288	0	100
EGM0002091977	288	0	100
EGM0002091785	288	0	100
EGM0002091780	288	0	100
EGM0002091920	288	0	100
EGM0002091928	284	4	98
EGM0002091665	288	0	100
EGM0002091906	288	0	100
EGM0002091991	287	1	99
EGM0002091605	286	2	99
EGM0002091820	287	1	99
EGM0002091940	288	0	100
EGM0002091534	286	2	99
EGM0002091624	288	0	100
EGM0002091689	288	0	100
EGM0002091875	288	0	100
EGM0002091655	287	1	99
EGM0002091616	286	2	99
EGM0002091512	286	2	99
EGM0002091570	287	1	99
EGM0002091825	287	1	99
EGM0002091713	287	1	99
EGM0002091705	280	8	97
EGM0002091761	288	0	100
EGM0002091770	288	0	100
EGM0002091865	285	3	98
EGM0002091513	285	3	98
EGM0002091888	288	0	100
EGM0002091528	287	1	99
EGM0002091986	288	0	100
EGM0002091598	287	1	99
EGM0002091981	288	0	100
EGM0002091681	286	2	99
EGM0002091817	288	0	100
EGM0002091550	287	1	99
EGM0002091693	288	0	100
EGM0002091846	284	4	98
EGM0002091636	288	0	100
EGM0002091765	288	0	100
EGM0002091884	287	1	99
EGM0002091963	288	0	100
EGM0002091609	286	2	99
EGM0002091823	286	2	99
EGM0002091662	288	0	100
EGM0002091762	284	4	98
EGM0002091857	288	0	100
EGM0002091734	286	2	99
EGM0002091954	287	1	99
EGM0002091800	288	0	100
EGM0002091736	288	0	100
EGM0002091700	288	0	100
EGM0002091960	287	1	99
EGM0002091529	287	1	99
EGM0002091882	288	0	100
EGM0002091796	286	2	99
EGM0002091969	288	0	100
EGM0002091979	288	0	100
EGM0002091945	286	2	99
EGM0002091929	288	0	100
EGM0002091923	287	1	99
EGM0002091781	287	1	99
EGM0002091533	287	1	99
EGM0002091696	286	2	99
EGM0002091620	288	0	100
EGM0002091811	287	1	99
EGM0002091694	281	7	97
EGM0002091886	287	1	99
EGM0002091540	287	1	99
EGM0002091522	288	0	100
EGM0002091566	287	1	99
EGM0002091947	286	2	99
EGM0002091792	287	1	99
EGM0002091775	288	0	100
EGM0002091897	287	1	99
EGM0002091871	287	1	99
EGM0002091643	287	1	99
EGM0002091957	288	0	100
EGM0002091664	286	2	99
EGM0002091672	286	2	99
EGM0002091631	288	0	100
EGM0002091519	286	2	99
EGM0002092010	288	0	100
